Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas56 Pavarde56 3 5 3 10 7 10 1 10 2 10
Vardas57 Pavarde57 6 1 10 1 8 3 8 1 1 2
Vardas58 Pavarde58 5 8 5 1 10 4 3 2 2 3
Vardas59 Pavarde59 3 9 10 5 6 8 2 7 4 10
Vardas60 Pavarde60 6 2 3 1 2 5 9 6 7 6
Vardas61 Pavarde61 7 1 4 10 3 6 4 6 8 2
Vardas62 Pavarde62 3 5 3 10 8 1 6 8 7 5
Vardas63 Pavarde63 2 8 6 7 7 8 2 6 3 3
Vardas64 Pavarde64 9 8 7 9 1 5 10 5 6 8
Vardas65 Pavarde65 9 10 5 9 10 1 10 5 10 3
Vardas66 Pavarde66 1 10 10 1 9 5 8 4 4 5
Vardas67 Pavarde67 9 2 10 3 4 4 3 8 3 6
Vardas68 Pavarde68 10 1 8 2 3 3 7 8 6 7
Vardas69 Pavarde69 7 5 6 8 9 9 5 4 10 5
Vardas70 Pavarde70 5 8 7 3 8 8 9 1 2 3
Vardas71 Pavarde71 2 5 2 4 6 2 2 4 5 9
Vardas72 Pavarde72 3 6 6 3 3 1 4 1 1 10
Vardas73 Pavarde73 4 4 6 5 2 3 5 3 10 1
Vardas74 Pavarde74 1 7 1 7 1 3 9 8 8 6
Vardas75 Pavarde75 1 9 6 6 4 9 6 7 2 7
Vardas76 Pavarde76 9 5 6 6 3 9 7 3 8 5
Vardas77 Pavarde77 10 2 6 1 6 9 1 10 10 5
Vardas78 Pavarde78 9 6 4 8 2 9 8 10 2 7
Vardas79 Pavarde79 5 7 9 8 7 10 2 3 8 4
Vardas80 Pavarde80 9 7 10 10 1 4 9 4 3 1
Vardas81 Pavarde81 9 2 4 6 6 7 2 1 7 5
Vardas82 Pavarde82 6 4 7 7 5 6 2 2 9 6
Vardas83 Pavarde83 7 3 7 5 6 3 10 9 10 7
Vardas84 Pavarde84 7 1 3 7 1 4 6 1 6 8
Vardas85 Pavarde85 3 6 1 9 8 1 3 8 1 1
Vardas86 Pavarde86 2 3 10 2 8 2 6 9 3 6
Vardas87 Pavarde87 9 8 2 2 8 6 4 5 10 5
Vardas88 Pavarde88 10 3 1 3 2 10 4 9 4 9
Vardas89 Pavarde89 5 5 6 9 9 5 5 10 7 4
Vardas90 Pavarde90 7 5 1 9 5 3 1 10 3 2
Vardas91 Pavarde91 5 3 6 3 8 6 4 10 8 6
Vardas92 Pavarde92 6 3 2 5 6 1 9 6 1 1
Vardas93 Pavarde93 5 5 5 1 7 6 1 1 2 5
Vardas94 Pavarde94 10 6 4 7 9 1 5 7 7 6
Vardas95 Pavarde95 1 2 1 2 5 4 4 3 3 6
Vardas96 Pavarde96 9 2 4 10 9 3 3 1 2 8
Vardas97 Pavarde97 4 10 2 4 4 7 10 5 10 7
Vardas98 Pavarde98 3 10 2 10 4 4 3 7 5 8
Vardas99 Pavarde99 2 8 5 10 5 9 8 4 6 3
Vardas100 Pavarde100 8 3 7 5 8 2 7 10 8 3
Vardas101 Pavarde101 8 5 8 2 2 1 2 2 5 6
Vardas102 Pavarde102 10 5 1 6 10 5 8 8 8 9
Vardas103 Pavarde103 3 2 5 1 2 6 9 2 7 7
Vardas104 Pavarde104 6 5 9 4 5 4 8 4 8 5
Vardas105 Pavarde105 3 1 8 8 5 2 2 5 7 6
Vardas106 Pavarde106 9 7 3 9 7 3 8 8 5 2
Vardas107 Pavarde107 8 9 4 9 6 9 9 5 7 10
Vardas108 Pavarde108 4 6 5 3 2 7 2 6 4 6
Vardas109 Pavarde109 5 6 1 7 8 9 2 9 4 9
Vardas110 Pavarde110 2 4 2 1 4 6 2 3 3 9
Vardas111 Pavarde111 8 4 10 10 8 10 5 7 6 5
Vardas112 Pavarde112 9 8 1 9 4 6 8 3 3 9
Vardas113 Pavarde113 3 2 6 7 3 7 10 10 7 5
Vardas114 Pavarde114 8 2 4 4 10 10 9 7 7 5
Vardas115 Pavarde115 6 4 3 5 5 5 1 8 6 4
Vardas116 Pavarde116 4 4 6 4 8 8 3 6 8 10
Vardas117 Pavarde117 7 2 6 1 4 7 3 8 3 10
Vardas118 Pavarde118 8 8 5 2 4 9 9 5 9 7
Vardas119 Pavarde119 5 7 7 5 2 9 4 10 6 6
Vardas120 Pavarde120 5 5 3 2 9 9 10 2 8 9
Vardas121 Pavarde121 6 9 3 5 6 5 9 5 5 2
Vardas122 Pavarde122 9 3 2 4 2 5 8 9 7 8
Vardas123 Pavarde123 1 9 2 5 7 4 4 10 4 7
Vardas124 Pavarde124 3 7 8 9 3 8 1 3 4 10
Vardas125 Pavarde125 9 1 3 6 1 9 10 6 8 5
Vardas126 Pavarde126 2 10 2 1 10 5 9 5 9 5
Vardas127 Pavarde127 2 7 8 9 2 2 6 3 5 6
Vardas128 Pavarde128 9 7 7 10 5 8 1 6 6 4
Vardas129 Pavarde129 9 10 8 5 3 9 9 6 4 10
Vardas130 Pavarde130 9 7 3 8 2 8 5 7 9 6
Vardas131 Pavarde131 6 7 4 5 10 5 5 1 2 9
Vardas132 Pavarde132 6 5 6 9 4 2 4 7 4 10
Vardas133 Pavarde133 5 4 8 10 1 4 2 9 2 6
Vardas134 Pavarde134 2 10 9 10 8 8 2 4 7 10
Vardas135 Pavarde135 1 8 7 7 3 7 6 10 10 8
Vardas136 Pavarde136 3 4 3 8 5 4 2 1 6 8
Vardas137 Pavarde137 7 4 10 4 9 10 9 7 6 10
Vardas138 Pavarde138 3 10 5 5 10 1 5 5 4 8
Vardas139 Pavarde139 10 1 6 3 2 8 10 1 4 1
Vardas140 Pavarde140 7 2 10 8 7 4 3 1 1 2
Vardas141 Pavarde141 5 5 9 7 1 1 10 5 1 9
Vardas142 Pavarde142 4 4 9 4 3 1 2 6 8 8
Vardas143 Pavarde143 6 5 3 4 9 6 6 1 1 9
Vardas144 Pavarde144 1 3 6 7 7 10 8 4 8 3
Vardas145 Pavarde145 4 2 1 6 2 6 3 3 2 2
Vardas146 Pavarde146 7 7 5 4 7 6 6 6 1 2
Vardas147 Pavarde147 8 5 3 6 6 9 9 7 7 4
Vardas148 Pavarde148 9 2 3 10 9 10 4 2 3 9
Vardas149 Pavarde149 1 8 10 4 1 2 3 5 4 1
Vardas150 Pavarde150 6 6 8 1 9 1 9 7 3 4
Vardas151 Pavarde151 4 2 8 5 5 8 10 3 8 7
Vardas152 Pavarde152 1 6 4 9 10 9 10 6 6 8
Vardas153 Pavarde153 5 9 2 4 5 8 1 10 4 9
Vardas154 Pavarde154 10 1 7 9 5 10 9 8 4 1
Vardas155 Pavarde155 1 7 3 4 6 8 7 5 3 10
Vardas156 Pavarde156 8 2 2 6 7 1 9 3 3 6
Vardas157 Pavarde157 3 8 8 6 5 1 7 2 8 7
Vardas158 Pavarde158 5 5 3 7 5 7 4 4 5 6
Vardas159 Pavarde159 8 7 9 6 3 9 10 4 9 9
Vardas160 Pavarde160 2 3 2 10 2 2 3 3 5 4
Vardas161 Pavarde161 2 9 1 8 7 6 3 9 9 6
Vardas162 Pavarde162 1 7 6 3 9 7 3 4 4 8
Vardas163 Pavarde163 1 2 10 9 9 5 8 10 1 6
Vardas164 Pavarde164 5 7 8 10 2 2 7 2 4 10
Vardas165 Pavarde165 3 9 4 6 4 2 7 5 1 8
Vardas166 Pavarde166 4 1 4 9 9 3 2 3 5 7
Vardas167 Pavarde167 7 1 1 6 5 4 7 3 5 1
Vardas168 Pavarde168 1 5 10 2 2 1 4 10 8 6
Vardas169 Pavarde169 8 5 1 4 4 10 7 7 1 4
Vardas170 Pavarde170 8 1 10 9 3 4 5 9 1 10
Vardas171 Pavarde171 1 5 6 4 2 7 7 5 8 6
Vardas172 Pavarde172 6 8 2 8 6 2 5 8 3 6
Vardas173 Pavarde173 9 4 5 10 10 5 7 6 9 6
Vardas174 Pavarde174 9 2 6 9 1 5 4 2 5 2
Vardas175 Pavarde175 7 6 3 6 9 1 10 6 3 5
Vardas176 Pavarde176 1 8 1 2 7 9 6 10 1 1
Vardas177 Pavarde177 6 2 7 9 6 7 7 2 3 5
Vardas178 Pavarde178 6 5 8 3 9 2 1 9 3 6
Vardas179 Pavarde179 9 1 7 4 8 5 3 1 9 10
Vardas180 Pavarde180 2 3 7 4 5 10 4 5 8 8
Vardas181 Pavarde181 10 3 2 9 7 5 10 4 9 7
Vardas182 Pavarde182 5 10 10 10 2 1 3 4 10 8
Vardas183 Pavarde183 7 1 1 1 4 10 6 6 7 10
Vardas184 Pavarde184 7 4 6 1 1 3 10 6 7 10
Vardas185 Pavarde185 2 4 10 2 4 4 3 3 7 1
Vardas186 Pavarde186 2 6 2 4 7 7 9 9 9 2
Vardas187 Pavarde187 4 9 5 3 1 10 2 4 5 9
Vardas188 Pavarde188 7 6 10 2 6 3 8 1 7 2
Vardas189 Pavarde189 2 6 3 7 9 2 2 10 10 4
Vardas190 Pavarde190 2 9 4 10 2 7 7 9 10 2
Vardas191 Pavarde191 4 9 2 10 9 3 6 1 1 9
Vardas192 Pavarde192 7 8 9 7 6 10 7 5 4 1
Vardas193 Pavarde193 10 3 4 7 7 3 4 7 5 4
Vardas194 Pavarde194 4 7 5 2 1 7 4 2 3 5
Vardas195 Pavarde195 10 3 6 7 1 7 4 4 10 3
Vardas196 Pavarde196 5 8 6 6 5 3 8 3 7 1
Vardas197 Pavarde197 8 2 5 5 6 2 1 4 2 7
Vardas198 Pavarde198 10 10 8 4 7 5 1 9 2 9
Vardas199 Pavarde199 8 9 9 10 3 6 5 1 6 4
Vardas200 Pavarde200 7 3 4 10 2 7 7 2 8 5
Vardas201 Pavarde201 2 4 1 10 9 9 10 9 3 5
Vardas202 Pavarde202 4 9 8 1 7 3 8 6 7 7
Vardas203 Pavarde203 4 4 1 5 2 1 10 6 3 1
Vardas204 Pavarde204 5 3 3 4 6 7 1 10 1 7
Vardas205 Pavarde205 4 6 7 7 5 3 6 6 6 3
Vardas206 Pavarde206 2 4 7 9 1 5 10 10 7 3
Vardas207 Pavarde207 10 1 5 7 6 5 6 6 1 7
Vardas208 Pavarde208 3 3 4 4 9 1 1 6 8 8
Vardas209 Pavarde209 9 1 10 5 2 3 7 9 5 8
Vardas210 Pavarde210 1 6 9 3 9 10 8 8 2 5
Vardas211 Pavarde211 10 7 8 9 9 1 6 5 3 7
Vardas212 Pavarde212 6 5 1 1 10 1 3 5 6 9
Vardas213 Pavarde213 2 2 9 2 10 3 10 8 1 6
Vardas214 Pavarde214 2 5 2 4 6 2 7 6 6 8
Vardas215 Pavarde215 9 2 4 8 5 6 8 5 2 3
Vardas216 Pavarde216 1 8 3 8 2 3 10 7 8 5
Vardas217 Pavarde217 4 10 3 8 10 4 6 10 10 1
Vardas218 Pavarde218 3 6 7 7 9 6 9 9 8 6
Vardas219 Pavarde219 1 9 6 5 3 6 7 5 3 6
Vardas220 Pavarde220 7 2 5 4 9 3 7 8 3 4
Vardas221 Pavarde221 6 8 8 9 3 9 2 9 1 5
Vardas222 Pavarde222 2 3 7 6 4 9 2 4 2 3
Vardas223 Pavarde223 1 3 1 2 4 2 10 7 2 3
Vardas224 Pavarde224 4 2 3 5 2 4 10 10 4 3
Vardas225 Pavarde225 7 9 3 5 10 10 6 7 4 5
Vardas226 Pavarde226 5 9 4 9 7 6 8 9 10 2
Vardas227 Pavarde227 8 5 7 1 8 5 9 9 2 4
Vardas228 Pavarde228 10 8 8 5 4 7 7 4 10 2
Vardas229 Pavarde229 8 8 10 6 7 8 4 9 9 6
Vardas230 Pavarde230 6 7 1 9 3 7 8 3 5 9
Vardas231 Pavarde231 7 7 7 3 4 3 6 1 4 6
Vardas232 Pavarde232 5 6 5 7 6 1 10 3 6 4
Vardas233 Pavarde233 7 4 8 7 1 9 1 6 4 1
Vardas234 Pavarde234 6 9 3 3 7 5 7 1 3 8
Vardas235 Pavarde235 9 8 8 2 4 1 6 7 1 7
Vardas236 Pavarde236 7 3 4 7 9 9 1 10 8 4
Vardas237 Pavarde237 1 1 7 8 2 9 7 10 1 7
Vardas238 Pavarde238 10 9 7 8 6 4 9 3 2 9
Vardas239 Pavarde239 9 2 8 2 7 7 10 4 3 9
Vardas240 Pavarde240 5 10 9 10 7 8 10 2 1 8
Vardas241 Pavarde241 10 7 3 10 6 3 3 6 3 7
Vardas242 Pavarde242 8 5 7 10 1 1 5 10 5 8
Vardas243 Pavarde243 7 3 2 10 6 1 5 4 9 3
Vardas244 Pavarde244 8 5 5 6 3 7 3 8 1 10
Vardas245 Pavarde245 3 3 1 8 1 3 10 8 8 2
Vardas246 Pavarde246 10 9 10 5 1 8 3 4 9 9
Vardas247 Pavarde247 6 4 5 5 6 5 10 10 8 10
Vardas248 Pavarde248 3 5 6 2 3 4 3 7 8 1
Vardas249 Pavarde249 8 5 9 9 7 7 10 8 3 8
Vardas250 Pavarde250 3 8 3 5 10 8 6 7 2 3
Vardas251 Pavarde251 8 7 6 1 10 10 9 9 8 9
Vardas252 Pavarde252 6 3 9 9 6 7 4 8 7 2
Vardas253 Pavarde253 3 9 9 9 9 7 2 1 1 10
Vardas254 Pavarde254 9 6 7 7 5 6 7 8 10 10
Vardas255 Pavarde255 9 7 7 6 9 7 8 6 6 6
Vardas256 Pavarde256 3 10 6 5 2 7 6 1 4 7
Vardas257 Pavarde257 7 10 6 10 4 4 9 4 7 7
Vardas258 Pavarde258 2 1 10 3 7 3 8 6 9 10
Vardas259 Pavarde259 8 1 4 9 2 5 10 7 6 9
Vardas260 Pavarde260 9 7 7 5 4 2 4 10 1 7
Vardas261 Pavarde261 5 2 9 9 5 1 5 7 4 2
Vardas262 Pavarde262 5 7 3 1 2 10 5 5 9 4
Vardas263 Pavarde263 9 8 4 10 3 5 6 6 8 4
Vardas264 Pavarde264 7 7 10 5 7 5 10 10 10 7
Vardas265 Pavarde265 5 7 10 6 5 2 6 1 9 9
Vardas266 Pavarde266 6 3 7 5 10 1 2 10 4 4
Vardas267 Pavarde267 1 10 5 7 4 8 6 6 9 8
Vardas268 Pavarde268 2 4 8 4 4 7 4 7 9 6
Vardas269 Pavarde269 6 6 9 4 8 1 4 3 4 2
Vardas270 Pavarde270 2 8 1 9 5 3 9 3 9 4
Vardas271 Pavarde271 5 10 8 5 3 9 3 6 2 6
Vardas272 Pavarde272 10 7 2 9 8 2 2 7 1 8
Vardas273 Pavarde273 4 7 8 3 7 3 2 7 6 8
Vardas274 Pavarde274 2 5 1 3 7 1 9 10 5 1
Vardas275 Pavarde275 1 7 4 5 3 5 8 6 8 3
Vardas276 Pavarde276 9 9 8 2 6 1 4 2 10 8
Vardas277 Pavarde277 1 5 5 1 5 8 1 9 9 4
Vardas278 Pavarde278 4 3 8 9 3 3 7 1 1 4
Vardas279 Pavarde279 8 10 9 2 1 4 4 6 6 5
Vardas280 Pavarde280 9 4 1 1 6 5 6 5 8 5
Vardas281 Pavarde281 7 10 1 2 2 9 9 2 7 6
Vardas282 Pavarde282 6 7 9 6 4 8 8 3 5 9
Vardas283 Pavarde283 10 1 1 9 7 9 6 4 1 6
Vardas284 Pavarde284 4 9 6 4 7 5 2 6 1 2
Vardas285 Pavarde285 8 2 1 7 8 1 5 1 6 1
Vardas286 Pavarde286 8 1 4 7 7 5 9 8 5 5
Vardas287 Pavarde287 9 5 10 5 9 9 7 9 7 7
Vardas288 Pavarde288 4 9 1 8 1 6 1 9 5 2
Vardas289 Pavarde289 4 10 7 10 3 1 10 5 3 3
Vardas290 Pavarde290 8 2 8 9 3 10 6 5 4 3
Vardas291 Pavarde291 6 3 5 5 4 7 9 5 1 7
Vardas292 Pavarde292 5 8 4 4 4 10 7 6 2 6
Vardas293 Pavarde293 3 1 5 3 7 10 7 9 4 3
Vardas294 Pavarde294 10 1 9 2 1 9 10 10 10 2
Vardas295 Pavarde295 1 2 8 9 3 6 2 5 3 9
Vardas296 Pavarde296 7 3 2 10 8 3 10 6 5 5
Vardas297 Pavarde297 8 10 9 2 2 4 2 8 1 3
Vardas298 Pavarde298 9 6 5 7 6 3 9 6 3 3
Vardas299 Pavarde299 2 5 3 2 6 2 6 1 2 9
Vardas300 Pavarde300 9 9 6 10 10 10 10 8 2 4
Vardas301 Pavarde301 3 2 5 8 5 8 7 7 9 6
Vardas302 Pavarde302 1 7 9 5 9 10 1 5 2 7
Vardas303 Pavarde303 2 3 7 2 2 1 10 8 10 6
Vardas304 Pavarde304 10 10 9 4 5 6 5 9 8 6
Vardas305 Pavarde305 2 9 1 7 9 3 7 10 8 9
Vardas306 Pavarde306 1 7 9 9 9 1 3 3 2 1
Vardas307 Pavarde307 4 3 9 2 6 5 3 10 7 1
Vardas308 Pavarde308 4 7 9 7 9 9 2 9 1 4
Vardas309 Pavarde309 6 3 8 6 8 4 10 1 1 6
Vardas310 Pavarde310 9 8 5 9 1 3 2 2 1 1
Vardas311 Pavarde311 10 7 2 4 3 2 5 2 4 2
Vardas312 Pavarde312 8 10 6 1 6 7 10 2 5 1
Vardas313 Pavarde313 9 5 6 4 3 5 8 4 1 1
Vardas314 Pavarde314 2 4 1 7 5 9 2 1 7 5
Vardas315 Pavarde315 2 3 7 5 4 3 6 9 7 3
Vardas316 Pavarde316 8 10 7 10 9 6 8 9 7 4
Vardas317 Pavarde317 9 3 4 9 6 7 1 5 10 2
Vardas318 Pavarde318 7 10 8 5 1 6 3 4 8 9
Vardas319 Pavarde319 4 5 4 10 2 3 5 6 9 3
Vardas320 Pavarde320 10 6 1 6 8 9 8 4 5 9
Vardas321 Pavarde321 7 8 9 3 7 4 8 10 2 10
Vardas322 Pavarde322 4 2 7 4 2 10 3 1 8 10
Vardas323 Pavarde323 7 7 4 5 2 7 10 4 8 8
Vardas324 Pavarde324 10 9 8 10 8 8 9 3 2 3
Vardas325 Pavarde325 7 4 2 4 8 5 5 5 6 8
Vardas326 Pavarde326 5 8 7 9 7 9 3 9 6 9
Vardas327 Pavarde327 6 8 7 3 6 9 7 6 2 4
Vardas328 Pavarde328 4 4 7 2 6 4 1 10 5 6
Vardas329 Pavarde329 5 5 6 1 10 8 5 2 1 8
Vardas330 Pavarde330 3 5 5 5 6 4 3 2 8 8
Vardas331 Pavarde331 5 4 3 1 4 10 2 1 1 6
Vardas332 Pavarde332 6 1 1 10 10 4 9 7 6 3
Vardas333 Pavarde333 7 2 10 8 4 9 10 2 1 7
Vardas334 Pavarde334 7 4 5 8 2 5 4 9 5 10
Vardas335 Pavarde335 8 8 5 1 4 5 7 8 4 7
Vardas336 Pavarde336 7 8 10 9 7 5 2 1 4 2
Vardas337 Pavarde337 1 5 2 1 7 1 6 5 5 10
Vardas338 Pavarde338 4 7 9 8 5 9 4 3 1 6
Vardas339 Pavarde339 4 7 10 5 6 2 4 4 6 2
Vardas340 Pavarde340 2 2 2 3 9 8 5 1 5 1
Vardas341 Pavarde341 4 7 8 8 6 9 2 9 7 5
Vardas342 Pavarde342 10 1 2 1 1 1 3 3 2 8
Vardas343 Pavarde343 4 10 4 8 4 10 4 2 5 9
Vardas344 Pavarde344 8 8 9 7 4 9 4 9 2 5
Vardas345 Pavarde345 5 2 10 8 2 7 3 1 1 1
Vardas346 Pavarde346 10 8 7 9 4 7 6 5 10 2
Vardas347 Pavarde347 4 9 10 2 5 4 9 7 7 8
Vardas348 Pavarde348 7 9 9 4 7 2 6 5 8 10
Vardas349 Pavarde349 6 7 9 10 7 6 4 4 9 1
Vardas350 Pavarde350 2 3 3 10 8 3 2 1 6 10
Vardas351 Pavarde351 9 6 10 3 6 9 1 2 6 10
Vardas352 Pavarde352 2 5 10 8 9 2 4 8 7 10
Vardas353 Pavarde353 10 10 8 6 8 1 10 2 10 1
Vardas354 Pavarde354 3 10 4 9 6 10 3 6 10 3
Vardas355 Pavarde355 1 6 5 1 10 5 7 4 5 8
Vardas356 Pavarde356 4 1 7 4 5 9 10 9 9 9
Vardas357 Pavarde357 7 4 1 2 7 4 10 9 1 6
Vardas358 Pavarde358 7 7 7 10 4 2 3 7 5 7
Vardas359 Pavarde359 10 5 1 1 5 4 10 3 10 2
Vardas360 Pavarde360 6 2 10 7 4 9 3 9 4 5
Vardas361 Pavarde361 5 9 6 2 8 5 5 7 5 5
Vardas362 Pavarde362 1 3 1 1 7 2 10 5 4 5
Vardas363 Pavarde363 7 6 1 2 3 7 3 9 9 3
Vardas364 Pavarde364 3 1 3 10 4 4 10 7 7 4
Vardas365 Pavarde365 7 4 1 9 9 7 4 3 8 3
Vardas366 Pavarde366 10 6 6 1 7 4 4 4 10 9
Vardas367 Pavarde367 8 3 5 7 10 6 10 2 5 3
Vardas368 Pavarde368 8 6 8 8 10 4 6 4 4 10
Vardas369 Pavarde369 9 3 4 1 4 8 6 5 10 5
Vardas370 Pavarde370 7 8 3 7 5 9 6 4 4 2
Vardas371 Pavarde371 8 7 8 7 9 2 2 4 10 2
Vardas372 Pavarde372 8 8 1 10 3 9 10 5 10 6
Vardas373 Pavarde373 5 4 5 4 4 10 10 2 7 7
Vardas374 Pavarde374 10 8 8 9 4 7 6 7 8 5
Vardas375 Pavarde375 9 3 3 9 6 10 4 3 8 2
Vardas376 Pavarde376 8 2 7 1 2 6 10 3 10 1
Vardas377 Pavarde377 1 2 3 4 1 9 5 6 6 3
Vardas378 Pavarde378 6 3 3 6 6 2 5 9 3 5
Vardas379 Pavarde379 5 2 1 5 6 6 10 4 3 1
Vardas380 Pavarde380 2 2 8 7 5 7 2 10 3 10
Vardas381 Pavarde381 2 6 2 1 5 6 8 3 9 6
Vardas382 Pavarde382 1 6 8 7 1 2 2 1 10 4
Vardas383 Pavarde383 8 2 9 6 6 7 1 5 8 2
Vardas384 Pavarde384 7 2 10 7 4 1 3 3 3 2
Vardas385 Pavarde385 7 6 9 8 3 7 10 5 10 2
Vardas386 Pavarde386 6 8 9 9 8 8 10 1 9 9
Vardas387 Pavarde387 3 6 2 5 4 7 2 7 3 7
Vardas388 Pavarde388 9 3 4 3 1 2 6 2 1 3
Vardas389 Pavarde389 1 5 8 10 5 9 8 7 6 8
Vardas390 Pavarde390 4 9 1 4 9 6 7 9 1 1
Vardas391 Pavarde391 9 9 9 4 7 1 7 4 5 5
Vardas392 Pavarde392 6 9 10 6 1 1 9 8 6 2
Vardas393 Pavarde393 9 6 5 7 9 9 2 2 6 7
Vardas394 Pavarde394 6 5 4 3 10 2 10 7 5 10
Vardas395 Pavarde395 1 10 5 8 6 1 5 8 4 10
Vardas396 Pavarde396 2 4 4 5 7 1 6 7 8 1
Vardas397 Pavarde397 6 5 5 5 5 4 8 8 6 9
Vardas398 Pavarde398 10 2 5 3 4 9 9 2 2 2
Vardas399 Pavarde399 5 6 5 9 3 7 3 8 5 3
Vardas400 Pavarde400 8 7 10 6 5 7 3 9 9 1
Vardas401 Pavarde401 8 2 7 10 2 6 6 10 9 1
Vardas402 Pavarde402 4 2 7 8 6 8 3 2 6 9
Vardas403 Pavarde403 8 8 6 1 9 4 10 3 5 8
Vardas404 Pavarde404 5 6 2 3 2 6 10 2 7 1
Vardas405 Pavarde405 5 5 2 4 10 1 7 9 3 2
Vardas406 Pavarde406 5 9 4 9 10 6 3 2 6 5
Vardas407 Pavarde407 7 2 8 10 10 6 2 7 8 2
Vardas408 Pavarde408 6 2 3 3 4 5 8 9 3 8
Vardas409 Pavarde409 6 3 5 8 2 2 3 6 4 2
Vardas410 Pavarde410 6 2 8 5 2 8 4 5 10 1
Vardas411 Pavarde411 7 2 2 3 9 7 6 4 9 10
Vardas412 Pavarde412 7 4 1 10 7 10 6 3 1 1
Vardas413 Pavarde413 7 8 3 2 7 6 4 1 7 8
Vardas414 Pavarde414 6 5 4 9 2 5 1 3 3 1
Vardas415 Pavarde415 7 1 2 2 9 8 2 8 1 4
Vardas416 Pavarde416 2 9 4 3 8 7 4 1 10 9
Vardas417 Pavarde417 3 8 5 2 8 4 9 6 3 4
Vardas418 Pavarde418 7 4 10 5 6 1 6 1 9 4
Vardas419 Pavarde419 8 7 3 4 3 4 6 8 1 1
Vardas420 Pavarde420 2 5 2 4 9 3 4 4 7 5
Vardas421 Pavarde421 8 8 6 4 4 1 2 4 5 1
